key,en,fr,es,nl
all-ontologies,All,Toutes,Todas,Alle
all-panels,All panels,Tous les outils,Todos los paneles,Alle gereedschappen
all-resolutions,All,Toutes,Todas,Alle
all-users-analyses,All users/analyses,Tous les utilisateurs/analyses,Todos los usuarios/análisis,Alle users/analyses
allowed-formats-upload-info,Supported image file formats:,Formats d'image supportés:,Formatos de imagen compatibles:,Ondersteunde beeldbestandsformaten:
already-in-other-image-group,Already in another image group,Déjà dans un autre groupe d'images,Ya en otro grupo de imágenes,Al in een andere beeldgroep
already-in-project,Already in project,Déjà dans le projet,Ya en proyecto,Reeds in het project
already-in-this-image-group,Already in this image group,Déjà dans ce groupe d'images,Ya en este grupo de imágenes,Al in deze beeldgroep
and-count-others,- | and one other | and {count} others,- | et un autre | et {count} autres,- | y otro | y {cuenta} otros,- | en nog een | en {tel} anderen
already-linked,Already linked,Déjà lié,Ya vinculado,Reeds gekoppeld
annotated-images-vs-contributor,Annotated images VS. contributor,Images annotées VS. contributeur,Imágenes anotadas por colaborador,Geannoteerde afbeeldingen VS. bijdrager
analyses,Analyses,Analyses,Análisis,Analyses
annotated-images-vs-contributors-chart-info-message,This chart presents the number of images annotated by each project member. Only annotations created during the selected period are taken into account.,ce graphique présente le nombre d'images annotées par chaque membre. Seules les annotations créées durant la période sélectionnée sont prises en compte.,Este gráfico presenta el número de imágenes anotadas por cada miembro del proyecto. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"deze grafiek toont het aantal afbeeldingen dat door elk lid is geannoteerd. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen."
annotated-images-vs-term,Annotated images VS. term,Images annotées VS. terme,Imágenes anotadas por término,Geannoteerde afbeeldingen VS. term
annotated-images-vs-terms-chart-info-message,This chart presents for each term the number of images having at least one user annotation associated with this term. Only annotations created during the selected period are taken into account.,"Ce graphique présente, pour chaque terme, le nombre d'images ayant au moins une annotation associée à ce terme. Seules les annotations créées durant la période sélectionnée sont prises en compte.",Este cuadro presenta el número de imágenes que tienen al menos una anotación de usuario asociada con cada término. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"Deze grafiek geeft voor elke term het aantal afbeeldingen weer met ten minste één annotatie die aan deze term is gekoppeld. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen."
annotation-comments,Annotation comments,Commentaires,Comentarios de anotaciones,Opmerkingen
annotation,Annotation,Annotation,Anotación,Annotatie
annotation-creations,Annotation creations,Créations d'annotations,Anotaciones creadas,Annotatie creaties
annotation-details-box,Annotation details box,Boîte de détails,Cuadro de detalles de anotación,Annotatiedetails doos
annotation-details,Annotation details,Détails de l'annotation,Detalles de anotación,Annotatiegegevens
annotation-layers,Annotation layers,Calques d'annotations,Capas de anotación,Annotatie lagen
annotation-links,Annotation links,Liens entre annotations,Enlaces de anotaciones,Annotatie koppelingen
annotation-selections-info-message,An annotation selection is recorded each time a user selects an annotation,"À chaque fois qu'un utilisateur clique sur une annotation dans une image, une sélection d'annotation est enregistrée",Se registra una selección de anotaciones cada vez que un usuario selecciona una anotación,"Elke keer dat een user op een annotatie in een afbeelding klikt, wordt een annotatieselectie opgeslagen"
annotation-position,original annotation position,position de l'annotation originale,posición de la anotación original,oorspronkelijke annotatiepositie
annotation-selections,Annotation selections,Sélections d'annotations,Selecciones de anotaciones,Annotatie selecties
annotation-type,Annotation type,Type d'annotation,Tipo de anotación,Annotatie type
annotations-list,Annotation list, Liste des annotations,Lista de anotaciones, Lijst met annotaties
annotations,Annotations,Annotations,Anotaciones,Annotaties
annotations-vs-contributors-chart-info-message,This chart presents the number of annotation created by each project member during the selected period,Ce graphique présente le nombre d'annotations créées par chaque membre durant la période sélectionnée,Este gráfico representa el número de anotaciones creadas por cada miembro del proyecto durante el período seleccionado,Deze grafiek toont het aantal annotaties dat door elk lid tijdens de geselecteerde periode is gemaakt
annotations-vs-terms-chart-info-message,This chart presents the number of manual annotation associated to each term. Only annotations created during the selected period are taken into account.,Ce graphique présente le nombre d'annotations manuelles associées à chaque terme. Seules les annotations créées durant la période sélectionnée sont prises en compte.,Este cuadro presenta el número de anotaciones manuales asociadas a cada término. Solo se tienen en cuenta las anotaciones creadas durante el período seleccionado.,"Dit diagram toont het aantal handmatige annotaties dat aan elke term is gekoppeld. Alleen annotaties die tijdens de geselecteerde periode zijn gemaakt, worden in aanmerking genomen."
api-keys,API keys,Clés API,Claves API,API-sleutels
appengine-not-enabled-title,App Engine is not enabled,App Engine n'est pas activé,App Engine no está habilitado,App Engine is niet ingeschakeld
appengine-not-enabled-description,"App Engine is not enabled on your Cytomine instance. Either contact an administrator, or contact sales@cytomine.com for requesting an upgrade of your instance.",App Engine n'est pas activé sur votre instance Cytomine. Contactez un administrateur ou envoyez un e-mail à sales@cytomine.com pour demander une mise à niveau de votre instance.,App Engine no está habilitado en su instancia de Cytomine. Póngase en contacto con un administrador o envíe un correo a sales@cytomine.com para solicitar una actualización de su instancia.,App Engine is niet ingeschakeld op uw Cytomine-instantie. Neem contact op met een beheerder of stuur een e-mail naar sales@cytomine.com om een upgrade van uw instantie aan te vragen.
area,Area,Aire,Zona,Gebied
associate-tags,Associate tags,Associer des tags,Etiquetas asociadas,Tags koppelen
associated-by,associated by {username},associé par {username},asociado por {username},geassocieerd door {usersnaam}
at,at,au,en,bij
attached-files,Attached files,Fichiers joints,Archivos adjuntos,Bijlagen files
average,Average,Moyenne,Promedio,Gemiddeld
back-to-login,Back to login form,Retour au formulaire d'authentification,Volver al formulario de inicio de sesión,Terug naar authenticatieformulier
barchart-click-label-to-toggle-visibility,Click on a label at the top of the chart to toggle the visibility of this data in the chart,Cliquez sur un label au-dessus du graphique pour afficher/masquer les données associées à ce label dans le graphique,Haga clic en una etiqueta en la parte superior del gráfico para mostrar/ocultar estos datos,Klik op een label boven de grafiek om de gegevens die bij dit label horen in de grafiek weer te geven/te verbergen
barchart-hover-mouse-for-details,Hover the mouse over a bar to display details related to this bar,Passez la souris sur une barre pour afficher les détails relatifs à cette barre,Pase el ratón sobre una barra para mostrar los detalles relacionados con esta barra,Plaats de muisaanwijzer op een balk om details over die balk te bekijken
black,Black,Noir,Negro,Zwart
blind-mode-explanation,"If blind mode is enabled, a contributor will not see image filename. The filename will not influence his work. Filename potentially contains the type of experiment.","Si le mode aveugle est activé, les contributeurs ne verront pas les noms des images du projet. Cela peut être utile lorsque les noms des images contiennent des informations (par exemple sur le type d'expérience) qui pourraient potentiellement influencer le travail des contributeurs.","Si el modo ciego está habilitado, los colaboradores no verán el nombre de archivo de la imagen. El nombre de archivo puede contener información (como el tipo de experimento) que podría influir en el trabajo de los colaboradores.","Als de blinde modus is ingeschakeld, zien bijdragers geen namen van projectafbeeldingen. Dit kan handig zijn wanneer afbeeldingsnamen informatie bevatten (bijvoorbeeld het type ervaring) dat het werk van bijdragers mogelijk kan beïnvloeden."
blind-mode,Blind mode,Mode aveugle,Modo ciego,blinde modus
blinded-name-indication,Blind,Masqué,Oculto,Verborgd
blue,Blue,Bleu,Azul,Blauw
boolean,Boolean,Booléen,Booleano,Booleaans
brightness,Brightness,Luminosité,Brillo,Helderheid
broadcast-my-position,Broadcast my position and allow other users to follow me,Diffuser ma position dans l'image et autoriser d'autres utilisateurs à me suivre,Transmita mi posición y permita que otros usuarios me sigan,Zend mijn positie in de afbeelding uit en laat andere gebruikers mij volgen
broadcast,Broadcast,Diffusion et suivi,Transmitir,Verspreiding en opvolging
browser,Browser,Navigateur,Navegador,Browser
button-accept-all,Accept all,Tout valider,Aceptar todo,Alles valideren
button-add-comment,Add comment,Ajouter un commentaire,Añadir comentario,Voeg een commentaar toe
button-add,Add,Ajouter,Añadir,Toevoegen
button-add-image,Add image,Ajouter une image,Añadir imagen,Voeg een afbeelding toe
button-add-image-group,Add image group,Ajouter un groupe d'images,Añadir grupo de imágenes,Voeg een afbeeldingsgroep toe
button-add-members,Add members,Ajouter des membres,Añadir miembros,Leden toevoegen
button-add-images-to-image-group,Add images,Ajouter des images,Añadir imágenes,Afbeeldingen toevoegen
button-added,Added,Ajouté,Añadida,Toegevoegd
button-add-to-image-group,Add to image group,Ajouter à un groupe d'images,Agregar al grupo de imágenes,Toevoegen aan beeldgroep
button-adjust-image,Adjust image,Ajuster le plan,,Plan aanpassen
button-adjust,Adjust,Ajuster,,Aanpassen
button-adjust-slice,Adjust slice,Ajuster l'image,,Afbeelding aanpassen
button-best-fit-zoom,Fit zoom to viewport,Ajuster le zoom à la vue,,Pas zoom aan om te bekijken
button-cancel-review,Cancel my review,Annuler la validation,Cancelar mi reseña,Review annuleren
button-cancel,Cancel,Annuler,Cancelar,Annuleren
button-center-view-on-annot,Center view on this annotation,Cadrer sur cette annotation,Cnetrar vista en anotación,Kader de view op deze annotatie
button-change-ontology,Change ontology,Changer l'ontologie,Cambiar ontología,Knop om de ontologie te veranderen
button-clear,Clear,Réinitialiser,Reiniciar,Resetten
button-close,Close,Fermer,Cerrar,Sluiten
button-comments,Comments,Commentaires,Comentarios,Opmerkingen
button-compute-histogram,Compute histogram,Calculer l'histogramme,Calcular histograma,Histogram berekenen
button-compute-profile,Compute profile,Calculer le profil,,Profiel berekenen
button-confirm,Confirm,Confirmer,Confirmar,Bevestigen
button-continue-review-later,Continue my review later,Continuer la validation plus tard,Continuar mi revisión más tarde,Ga later verder met de review
button-continue-review,Continue review,Continuer la validation,Continuar reseña,Validatie voortzetten
button-copy-url,Copy URL,Copier l'URL,Copiar URL,URL kopieren
button-copy,Copy,Copier,Copiar,Kopiëren
button-delete,Delete,Supprimer,Eliminar,Verwijderen
button-details,Details,Détails,Detalles,Details
button-download,Download,Télécharger,Descargar,Downloaden
button-edit,Edit,Modifier,Editar,Bewerken
button-export-as-csv,Export as CSV,Exporter CSV,Exportar como CSV,CSV exporteren
button-full-text,See full text,Voir l'entièreté,Ver texto completo,Alles zien
button-get-username,Get username,Récupérer le nom d'utilisateur,Recuperar nombre de usuario,Usersnaam ophalen
button-hide-filters,Hide filters,Cacher les filtres,Ocultar filtros,Verberg filters
button-hide,Hide,Masquer,Ocultar,Verbergen
button-kill,Kill,Arrêter,Abortar,Stoppen
button-less,Less,Moins,Menos,Minder
button-load-more,Load more,Plus,Cargar más,Meer loaden knop
button-lock,Lock,Verrouiller,Bloquear,blokkeren
button-login,Log in,Se connecter,Iniciar sesión,Inloggen
button-manage-members,Manage members,Gestion des membres,Administrar miembros,Leden managen
button-metadata,Metadata,Métadonnées,Metadatos,Metagegevens
button-more-info,More information,Plus d'informations,Más información,Meer informatie
button-more,More,Plus,Más,Meer
button-new-tag,New tag,Nouveau tag,Nueva etiqueta,nieuwe tag
button-new-user,New user,Nouvel utilisateur,Nuevo usuario,Nieuwe user
button-next-annot-link,Next link,Lien suivant,Siguiente enlace,Volgende koppeling
button-next-image,Next image,Image suivante,Imagen siguiente,Volgende afbeelding
button-next-image-in-group,Next image in group,Image suivante dans le groupe,Siguiente imagen en grupo,Volgende afbeelding in groep
button-open,Open,Ouvrir,Abierto,Openen
button-previous-annot-link,Previous link,Lien précédent,Enlace anterior,Vorige koppeling
button-previous-image,Previous image,Image précédente,Imagen anterior,Vorige afbeelding
button-previous-image-in-group,Previous image in group,Image précédente dans le groupe,imagen anterior en grupo,Vorige afbeelding in groep
button-properties,Properties,Propriétés,Propiedades,Eigenschappen
button-refresh,Refresh,Rafraîchir,Actualizar,Refresh
button-register,Register,S'inscrire,Registrarse,Register
button-reject-all,Reject all,Tout rejeter,Rechazar todo,Alles weigeren
button-remove-selected-members,Remove selected members,Retirer les membres sélectionnés,Eliminar miembros seleccionados,Verwijder geselecteerde leden
button-remove,Remove,Supprimer,Eliminar,Verwijderen
button-remove-from-image-group,Remove from image group,Retirer d'un groupe d'images,Eliminar del grupo de imágenes,Verwijderen uit afbeeldingsgroep
button-rename,Rename,Renommer,Renombrar,Hernoemen
button-reset-opacities,Reset opacities,Réinitialiser les opacités,Restablecer niveles de opacidad,Dekkingen resetten
button-reset,Reset,Réinitialiser,Reiniciar,Resetten
button-reset-password,Reset password,Réinitaliser le mot de passe,Restablecer la contraseña,Reset wachtwoord
button-reset-zoom,Reset zoom,Réinitialiser le zoom,,Zoom resetten
button-retry,Retry,Réessayer,Rever,Opnieuw proberen
button-save,Save,Sauvegarder,Guardar,Save
button-set-calibration,Set calibration,Calibrer,Establecer calibración,Kalibreren
button-set-magnification,Set magnification,Changer le grossissement,Establecer nivel de aumento,De vergroting veranderen
button-share,Share,Partager,Compartir,Delen
button-show-filters,Show filters,Montrer les filtres,Mostrar filtros,Toon filters
button-show,Show,Montrer,Mostrar,Tonen
button-show-linked-annots,Show all linked annotations,Montrer toutes les annotations liées,Mostrar todas las anotaciones vinculadas,Toon alle gekoppelde annotaties
button-start-review,Start review,Commencer la validation,Iniciar revisión,Review starten
button-start,Start,Uploader,Comenzar,Uploaden
button-switch-histogram-scale-to-linear,Switch to linear histogram,Utiliser un histogramme linéaire,Cambiar a histograma lineal,Schakel over naar lineair histogram
button-unlink,Unlink,Séparer,Desconectar,Scheiden
button-switch-histogram-scale-to-log,Switch to log histogram,Utiliser un histogramme log,Cambiar a histograma de registro,Schakel over naar loghistogram
button-unlock,Unlock,Déverrouiller,Desbloquear,Unlock
button-unvalidate-and-continue-review,Unvalidate and continue my review,Annuler la validation,Anular y continuar mi reseña,Validatie annuleren
button-unvalidate-review,Unvalidate my review,Annuler la validation,Anular mi reseña,Validatie annuleren knop
button-validate-review,Validate my review,Valider l'image,Validar mi reseña,Review valideren
button-view-activity,View activity,Voir l'activité,Ver actividad,Activiteit bekijken
button-view,View,Voir,Ver,View
button-view-all,View all,Tout voir,Ver todo,Alles zien
button-view-crop,View crop,Voir le crop,Ver recorte,View het crop
button-view-in-image,View in image,Voir dans l'image,Ver en imagen,Zie op de afbeelding
by-term,By term,Par terme,Por término,Per termijn
by,By,Par,Por,Door
by-track,By track,Par trace,,Per track
calibrate-image,Calibrate image,Calibrer l'image,Calibrar imagen,Afbeelding kalibreren
cancel-upload,Cancel upload,Annuler l'upload,Cancelar carga,Uploaden annuleren
cannot-delete-ontology-with-projects,Cannot delete the ontology: it is used in projects,Cette ontologie ne peut être supprimée : elle est utilisée dans des projets.,No se puede eliminar la ontología: se usa en proyectos,Deze ontologie kan niet worden verwijderd: deze wordt gebruikt in projecten.
categorization,Categorization,Catégorisation,Categorización,Categorisering
change-ontology-warning-message,Changing the ontology will result in the deletion of all existing terms associations. This operation will not be recoverable with undo button!,Changer l'ontologie aura pour effet de supprimer toutes les associations annotation-terme existantes. Cette action est irréversible.,Cambiar la ontología dará como resultado la eliminación de todas las asociaciones de términos existentes. ¡Esta operación no se puede deshacer!,"Als u de ontologie wijzigt, worden alle bestaande annotatie-termassociaties verwijderd. Deze actie is onomkeerbaar."
change-ontology,Change ontology,Changer l'ontologie,Cambiar ontología,Ontologie veranderen
channel-abbr,ch.,can.,,kan.
channel,Channel,Canal,,Kanaal
checking-integrity,Checking integrity,Vérification de l'intégrité en cours,,Integriteitscontrole wordt uitgevoerd
choose-file-or-drop,Click and choose a file or drop it here,Cliquez ici ou glissez-déposez le fichier de votre choix,Haga clic y elija un archivo o suéltelo aquí,Klik hier of sleep de file van uw keuze
circle,Circle,Cercle,Círculo,Cirkel
classic-mode-explanation,"Contributors will be able to add, edit or delete project data, annotations, properties and descriptions on all layers.","Les contributeurs auront le droit d'ajouter, d'éditer et de supprimer des données dans ce projet sans restriction, y compris des annotations, des propriétés et des descriptions sur les calques d'autres utilisateurs.","Los colaboradores podrán agregar, editar o eliminar datos del proyecto, anotaciones, propiedades y descripciones en todas las capas.","Bijdragers hebben het recht om zonder beperking gegevens in dit project toe te voegen, te bewerken en te verwijderen, inclusief annotaties, eigenschappen en beschrijvingen op lagen van andere gebruikers."
classic,Classic (fully collaborative),Classique (collaboratif),Clásico (totalmente colaborativo),Klassiek (collaboratief)
click-or-drop-new-file,Click or drop new file to replace current one,Cliquez ici our glissez-déposez un nouveau fichier pour remplacer le fichier actuel,Haga clic o suelte el archivo nuevo para reemplazar el actual,Klik hier om een ??nieuwe file te slepen en neer te zetten om het huidige bestand te vervangen
close-admin-session,Close admin session,Fermer la session admin,Cerrar sesión de administrador,De adminsessie sluiten
color,Color,Couleur,Color,Kleur
colors,Colors,Couleurs,Colores,Kleuren
command-line-flag,Command line flag,Argument de la ligne de commande,Flag de línea de comando,Opdrachtregelargument
comment-will-be-sent-by-email,The comment will be sent by email to the selected users,Le commentaire sera envoyé par e-mail aux utilisateurs sélectionnés,El comentario se enviará por correo electrónico a los usuarios seleccionados.,De opmerking wordt per e-mail naar de geselecteerde users verzonden
comment,Comment,Commentaire,Comentario,Opmerking
comments,Comments,Commentaires,Comentarios,Opmerkingen
communication-error,Communication error,Erreur de communication,Error de comunicación,Communicatie fout
companion-files,Companion files,Fichiers liés,,Gerelateerde files
configuration,Configuration,Configuration,Configuración,Configuratie
confirm-annotation-group-merge,The two annotations you are about to link already each have links with different annotations.<br>Are you sure to link these two annotations and their respective existing links?<br>This action can only be undone by unlinking annotations one by one.,Les deux annotations que vous êtes sur le point de lier ont déjà chacune des liens avec des annotations différentes.<br>Êtes-vous certain de vouloir lier ces deux annotations et leurs liens respectifs ?<br>Cette action ne peut être annulée qu'en déliant les annotations une par une.,Las dos anotaciones que está a punto de vincular ya tienen vínculos con anotaciones diferentes.<br>¿Está seguro de vincular estas dos anotaciones y sus respectivos vínculos existentes?<br>Esta acción solo se puede deshacer desvinculando las anotaciones una por una.,"De twee annotaties die u gaat koppelen, hebben elk al links met verschillende annotaties.<br>Weet u zeker dat u deze twee annotaties en hun respectieve bestaande links wilt koppelen?<br>Deze actie kan alleen ongedaan worden gemaakt door annotaties één voor één te ontkoppelen."
confirm-close-project-message,Do you really want to close this project? The {viewers} it contains will be closed as well,Êtes-vous sûr de vouloir fermer ce projet ? Les {viewers} qu'il contient seront également fermés.,¿Está seguro de cerrar este proyecto? Los {viewers} que contiene también se cerrarán,"Bent u zeker dat u dit project wilt sluiten? De {viewers} die het bevat, worden ook gesloten."
confirm-annotation-link,Confirm annotation linking,Confirmer la création des liens entre annotations,Confirmar vinculación de anotaciones,Bevestig het koppelen van annotaties
confirm-close-project,Close project,Fermer le projet,Cerrar proyecto,Project afsluiten
confirm-default-property-not-used-in-project,'{key}' is currently not used as an annotation property key in this project.<br> Are you sure you want to use it as default property?,"Actuellement, aucune annotation de ce projet n'est associée à une propriété ayant pour clé '{key}'.<br> Êtes-vous sûr de vouloir l'utiliser comme propriété par défaut",&#39;{clave}&#39; no se utiliza actualmente como una clave de propiedad de anotación en este proyecto. <br> ¿Seguro que quiere usarla como propiedad predeterminada?,Momenteel zijn er geen annotaties in dit project gekoppeld aan een eigenschap met sleutel '{key}'.<br>Weet u zeker dat u deze als de standaardeigenschap wilt gebruiken
confirm-default-property,Confirm default property,Confirmer la propriété par défaut,Confirme la propiedad predeterminada,Eigenschap bevestigen door uitsluiting
confirm-deletion-annotation,Are you sure you want to delete this annotation?,Êtes-vous sûr de vouloir supprimer cette annotation?,¿Estás seguro de que deseas eliminar esta anotación?,Bent u zeker dat u deze annotatie wilt verwijderen?
confirm-deletion,Confirm deletion,Confirmer la suppression,Confirmar la eliminación,Verwijdering bevestigen
confirm-deletion-attached-file,Do you really want to delete attached file {filename}?,Êtes-vous sûr de vouloir supprimer le fichier joint {filename} ?,¿Realmente desea eliminar el archivo adjunto {filename}?,Bent u zeker dat u het bijgevoegde file {filename} wilt verwijderen?
confirm-deletion-annotation-link,Are you sure you want to delete the links of this annotation?,Êtes-vous sûr de vouloir supprimer les liens de cette annotation ?,¿Está seguro de que desea eliminar los enlaces de esta anotación?,Weet u zeker dat u de links van deze annotatie wilt verwijderen?
confirm-deletion-file,Are you sure you want to delete this file?,Êtes-vous sûr de vouloir supprimer ce fichier ?,¿Está seguro de que desea eliminar este archivo?,Bent u zeker dat u dit file wilt verwijderen?
confirm-deletion-ontology,Are you sure you want to delete ontology {name}?,Êtes-vous sûr de vouloir supprimer l'ontologie {name} ?,¿Está seguro de que desea eliminar la ontología {name}?,Bent u zeker dat u de ontologie {name} wilt verwijderen?
confirm-deletion-term,Are you sure you want to delete term {name}?,Êtes-vous sûr de vouloir supprimer le terme {name} ?,¿Seguro que quiere eliminar el término {name}?,Bent u zeker dat u de term {name} wilt verwijderen?
confirm-deletion-track,Are you sure you want to delete track {name}?,Etes-vous certain de vouloir supprimer la trace {name} ?,,Bent u zeker dat u de {name}-tracering wilt verwijderen?
confirm-ontology-change-delete-user-terms,Some members of this project have associated terms to annotations ({count} associations). <br> Are you sure you want to delete those associations to change the ontology?,Des membres du projet ont associé des termes à des annotations ({count} associations). Êtes-vous sûr de vouloir supprimer ces associations ?,Algunos miembros de este proyecto tienen términos asociados a anotaciones ({count} asociaciones). <br> ¿Está seguro de que desea eliminar esas asociaciones para cambiar la ontología?,Projectleden hebben termen gekoppeld aan annotaties ({count} associaties). Weet u zeker dat u deze koppelingen wilt verwijderen?
confirm-ontology-change,Confirm ontology change,Confirmer le changement d'ontologie,Confirmar cambio de ontología,Bevestig de wijziging van de ontologie
confirm-profile-computation,Confirm profile computation,Confirmer le calcul du profil,Confirmar cálculo de perfil,Bevestig profielberekening
confirm-unlink-view-to-track,"This view is linked with another one on which you are following a user. This may cause conflicts and flickering behaviour. If you confirm, this view will be unlinked from any other to prevent such conflict.","Cette image est synchronisée avec une autre image dans laquelle vous suivez un utilisateur. Cela pourrait mener à des conflits et à un comportement erratique. Si vous confirmez, la synchronisation sera interrompue de façon à éviter un tel conflit","Esta vista está vinculada con otra en la que está siguiendo a un usuario. Esto puede causar conflictos y parpadeos. Si confirma, esta vista se desvinculará de cualquier otra para evitar conflictos.","Deze afbeelding wordt gesynchroniseerd met een andere afbeelding waarin u een gebruiker volgt. Dit kan leiden tot conflicten en grillig gedrag. Als u bevestigt, wordt de synchronisatie onderbroken om een ??dergelijk conflict te vermijden"
confirm-profile-computation-message,Are you sure to ask for profile computation for this image (possibly slow)?,Etes-vous certain de demander le calcul du profil pour cette image (potentiellement lent) ?,¿Está seguro de solicitar el cálculo del perfil para esta imagen (posiblemente lento)?,Weet u zeker dat u om profielberekening voor deze afbeelding vraagt ​​(mogelijk langzaam)?
confirm-untrack-to-link-view,"This view is currently synchronized with that of another user. This may cause conflicts and flickering behaviour. If you confirm, the tracking of this user will be cancelled.","Cette image est actuellement synchronisée avec les mouvements d'un autre utilisateur. Cela pourrait mener à des conflits et à un comportement erratique. Si vous confirmez, la synchronisation sera interrompue de façon à éviter un tel conflit","Esta vista está actualmente sincronizada con la de otro usuario. Esto puede causar conflictos y parpadeos. Si confirma, se cancelará el seguimiento de este usuario.","Dit beeld wordt momenteel gesynchroniseerd met de bewegingen van een andere gebruiker. Dit kan leiden tot conflicten en grillig gedrag. Als u bevestigt, wordt de synchronisatie onderbroken om een ??dergelijk conflict te vermijden"
connect-as-user,Connect as {username},Se connecter en tant que {username},Conectar como {username},Log in als {usersnaam}
connections-chart,Connections chart,Graphique des connexions,Gráfico de conexiones,Verbindingen grafiek
contact-info,You can contact the Cytomine Team at {contactMail},Vous pouvez contacter l'équipe de Cytomine à l'adresse {contactMail}.,Puede ponerse en contacto con el equipo de Cytomine en {contactMail},U kunt contact opnemen met het Cytomine-team via {contactMail}.
contact,Contact,Contact,Contacto,Contact
content-type,Content type,Type de contenu,Tipo de contenido,Inhoudstype
contrast,Contrast,Contraste,Contraste,Contrast
contributor-icon-label,You are a contributor of this project,Vous êtes un contributeur du projet,Usted es un colaborador de este proyecto.,U bent een projectmedewerker
contributor,Contributor,Contributeur,Colaborador,Contributor
contributors,Contributors,Contributeurs,Colaboradores,bijdragers
converted,Converted,Converti,Convertido,Omgebouwd
converting,Converting,Conversion en cours,,Conversie bezig
copy-paste,Copy/Paste,Copier/Coller,,Kopiëren/plakken
copy,Copy,Copier,,Kopiëren
core-cannot-be-reached,Error of communication with Cytomine core,Erreur de communication avec le backend de Cytomine,Error de comunicación con el núcleo de Cytomine,Communicatiefout met Cytomine-backend
count-active-users,no active user | one active user | {count} active users,aucun utilisateur actif | un utilisateur actif | {count} utilisateurs actifs,sin usuario activo | un usuario activo | {count} usuarios activos,geen actieve user | een actieve user | {count} actieve users
count-annotation-terms,0 term associated to an annotation | 1 term associated to an annotation | {count} terms associated to annotations,0 association de terme | 1 association de terme | {count} associations de terme,0 término asociado a una anotación | 1 término asociado a una anotación | {count} términos asociados a anotaciones,0 termassociatie | 1 termassociatie | {count} termassociaties
